level,CLP_ID,node_bf,License_Type,Region,Sub_Region_Group,node_af,level1
1,bc7da896-2ef9-474c-ae7c-53e7bb09a4cb,Current Onboard,Trial,Europe,Germany,No usage,1
1,b00bad70-bc7f-4b1f-8539-6c89af1ae122,Current Onboard,Paid,Europe,UK Region,Only UI,1
1,638940b5-1398-4577-bd75-a8919bc127d6,Current Onboard,Trial,Europe,Southern Europe,No usage,1
1,b32f554e-d051-4877-911b-0e5c6f04ad47,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,Only UI,1
1,597e88c4-7178-441e-9b78-f72781fe8a1c,Current Onboard,Paid,Europe,Southern Europe,UI and API,1
1,194e29bc-a2d0-4416-ab2e-2b2babf07487,Current Onboard,Trial,Europe,Germany,Only UI,1
1,d433620f-a20b-49fa-877c-fd18571eb37d,Current Onboard,Trial,Americas,North America,No usage,1
1,79e162fc-497e-432a-8fba-9c0f8baecc68,Current Onboard,Paid,Japan,Japan,No usage,1
1,11110b68-3ab3-4819-b92c-2d9e89e1256a,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,Only UI,1
1,04c122a9-f172-4536-8481-fcacf1239ab7,Current Onboard,Paid,AMEA,MMEA,Only UI,1
1,d0be63fe-5845-4398-a544-4040226cc424,Current Onboard,Paid,Japan,Japan,Only UI,1
1,a4da0d8a-28d3-4da2-9a20-8c3bcf3ad4f7,Current Onboard,Paid,Americas,North America,No usage,1
1,c465e7f4-3dc6-4ad1-9396-b1def5cb50d6,Current Onboard,Paid,Japan,Japan,Only UI,1
1,4cf9cd3e-f100-4a60-a3d6-5c0f3163e298,Current Onboard,Paid,Americas,Latin America,No usage,1
1,19cef544-a459-429a-8b04-e2a97dcd743e,Current Onboard,Trial,AMEA,MMEA,No usage,1
1,ba971647-7d71-4a10-ae34-f87198682410,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,925cbd7b-abc1-4b01-97a0-2e11a29faea6,Current Onboard,Trial,AMEA,MMEA,Only UI,1
1,f7db089d-8b39-4c70-a4a4-6d85fe9ed106,Current Onboard,Trial,AMEA,MMEA,No usage,1
1,e2364577-ff22-420b-b0e0-1f00f426c73a,Current Onboard,Paid,Europe,Southern Europe,UI and API,1
1,e7d2e86d-65eb-4f2e-a08e-941b60d318af,Current Onboard,Paid,AMEA,MMEA,Only UI,1
1,9d47041c-2278-4b0b-a609-458666c81e52,Current Onboard,Paid,Americas,Latin America,No usage,1
1,7602accf-f59c-46f5-8b1d-1f9931cef60c,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,aa25b5fe-0d74-4a2e-8cb4-caacb041b17f,Current Onboard,Paid,AMEA,MMEA,Only UI,1
1,33df493b-cede-4c79-917b-d9bddb68a324,Current Onboard,Paid,Europe,UK Region,Only UI,1
1,8a622633-4cad-4806-af51-cb317c95c79f,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,68393f68-a9f1-4939-9d01-9ef95465b84f,Current Onboard,Essential Access,Americas,Latin America,Only UI,1
1,6aa9c248-6b09-4da5-8f84-d27e5ec4a86a,Current Onboard,Paid,Americas,North America,No usage,1
1,b8425d5d-c2bc-483c-96f3-3a9649c0906d,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,Only UI,1
1,7d1cd1ae-8599-4c5a-a0ee-d07eb3713240,Current Onboard,Trial,Europe,Southern Europe,No usage,1
1,742286fa-fae1-4179-bb02-46ae32d11709,Current Onboard,Trial,Europe,Germany,No usage,1
1,3397c203-e204-4d06-af9e-872650d7ba32,Current Onboard,Paid,AMEA,Pan Asia,Only UI,1
1,e32d4f90-ea99-4631-b465-574862568386,Current Onboard,Paid,Japan,Japan,No usage,1
1,1ed257a8-b5f2-4f00-b5cd-96c2a3ac0519,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,a333e934-3dfa-4756-8938-7a62d58c92db,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,No usage,1
1,7f7c8776-a778-4bd0-b0f9-d984b319faca,Current Onboard,Paid,Europe,UK Region,Only UI,1
1,b5a729b0-7c38-4b20-84ad-e1ae7775f785,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,11204998-7f50-480b-a7d1-a50d2b088686,Current Onboard,Paid,Americas,North America,No usage,1
1,8f9030f8-b284-4337-b705-cc55694037ba,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,No usage,1
1,11c17e8a-9b5d-4179-8bfc-f4b3f8161e05,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,fdc89aec-a223-4e99-bcd9-3bcb8b74e106,Current Onboard,Paid,Americas,North America,Only UI,1
1,56444e84-6f8f-4d88-bd8d-b846038500f8,Current Onboard,Essential Access,Americas,Latin America,Only UI,1
1,0a97853a-dd58-4a26-843b-96688226c30a,Current Onboard,Trial,AMEA,MMEA,Only UI,1
1,f1852f1a-f427-404d-a817-7c1cab19609a,Current Onboard,Essential Access,Europe,Southern Europe,Only UI,1
1,dfc5df07-5c8d-46db-b87e-40a8f09dc029,Current Onboard,Paid,Americas,Latin America,No usage,1
1,cef57feb-e667-4642-8699-61a58f7890f3,Current Onboard,Trial,AMEA,MMEA,No usage,1
1,bf092f54-5a45-4c82-9ff6-ef1bdda214bf,Current Onboard,Paid,Europe,Benelux,No usage,1
1,159fd344-5149-4d69-bd1d-b68d131ba937,Current Onboard,Trial,Europe,Southern Europe,No usage,1
1,909ea2da-ede7-49d7-acfa-dd3e603ae45d,Current Onboard,Trial,AMEA,MMEA,No usage,1
1,485daf6d-0bdc-49d1-b36d-ef74ab723a68,Current Onboard,Essential Access,AMEA,APAC exclude Pan Asia,Only UI,1
1,5580beae-ee33-4b4f-80e3-86ebb96f0113,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,9cb1c868-9cce-4896-aa2c-22a8585c42d5,Current Onboard,Paid,Europe,CEE,No usage,1
1,d1a09e32-82df-41fe-90c7-0672eace3436,Current Onboard,Paid,Americas,Latin America,No usage,1
